Lord of the Rings: The Return of the King: Extended Edition	4.72326992568
The Lord of the Rings: The Fellowship of the Ring: Extended Edition	4.71661082509
Lord of the Rings: The Two Towers: Extended Edition	4.70261106365
Lost: Season 1	4.67098910195
Battlestar Galactica: Season 1	4.63880938752
Fullmetal Alchemist	4.60502143295
Trailer Park Boys: Season 4	4.6
Trailer Park Boys: Season 3	4.6
Tenchi Muyo! Ryo Ohki	4.59550561798
The Shawshank Redemption: Special Edition	4.59338393241
Veronica Mars: Season 1	4.59208400646
Ghost in the Shell: Stand Alone Complex: 2nd Gig	4.58636363636
Arrested Development: Season 2	4.58238936717
The Simpsons: Season 6	4.58129598861
Inu-Yasha	4.55443441317
Lord of the Rings: The Return of the King: Extended Edition: Bonus Material	4.552
Lord of the Rings: The Return of the King	4.54512078878
Star Wars: Episode V: The Empire Strikes Back	4.54370065967
The Simpsons: Season 5	4.54256303493
Fruits Basket	4.5389133627
The Sopranos: Season 5	4.53433445801
Family Guy: Vol. 2: Season 3	4.52751928922
The Simpsons: Season 4	4.52348883941
House	4.52261306533
Ah! My Goddess	4.52173913043
Family Guy: Freakin' Sweet Collection	4.51600678169
Band of Brothers	4.51332835741
Gladiator: Extended Edition	4.5126575685
The Godfather	4.50449086309
Star Wars: Episode IV: A New Hope	4.50409701352
Raiders of the Lost Ark	4.50403512334
Seinfeld: Season 3	4.50183624973
CSI: Season 4	4.49702505657
Dead Like Me: Season 2	4.48732747804
Family Guy: Vol. 1: Seasons 1-2	4.48430377569
Gilmore Girls: Season 4	4.48389513109
24: Season 2	4.48234947616
The West Wing: Season 3	4.47369214533
CSI: Season 3	4.47217707608
Six Feet Under: Season 4	4.46969312706
Samurai Champloo	4.4675
The Sopranos: Season 4	4.46734356283
24: Season 3	4.46651296182
Inu-Yasha: The Movie 3: Swords of an Honorable Ruler	4.4648241206
Anne of Green Gables: The Sequel	4.46219686163
Stargate SG-1: Season 8	4.4619205298
Star Wars: Episode VI: Return of the Jedi	4.46072980213
Lord of the Rings: The Two Towers	4.460676386
The Sopranos: Season 2	4.4596732461
Schindler's List	4.45800417239
South Park: Season 6	4.45633955123
The West Wing: Season 4	4.45275283093
CSI: Season 2	4.45156385752
Full Metal Panic FUMOFFU	4.45145631068
Seinfeld: Season 4	4.44927203944
The West Wing: Season 2	4.44900068918
24: Season 1	4.44873271889
Gilmore Girls: Season 3	4.4483329882
Firefly	4.44671370219
The Sopranos: Season 3	4.44419382438
The Simpsons: Season 2	4.43796052278
Lord of the Rings: The Fellowship of the Ring	4.43470833945
Smallville: Season 4	4.42983526541
Six Feet Under: Season 3	4.42813726732
Trailer Park Boys: Seasons 1 & 2	4.42574257426
The Sopranos: Season 1	4.42568699353
